,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
0,Denmark,Western Europe,54663.99837,6.21,86.98,97.6,99.71,7.526
1,Switzerland,Western Europe,80172.1933,4.91,72.09,90.43,99.93,7.5089999999999995
2,Iceland,Western Europe,61757.94931,11.71,97.04,66.04,99.29,7.501
3,Norway,Western Europe,70460.56053,8.66,94.59,82.2,98.86,7.497999999999999
4,Finland,Western Europe,43777.44009,8.87,93.77,96.93,98.57,7.412999999999999
5,Canada,North America,42279.900819999995,16.18,91.16,74.5,99.65,7.404
6,Netherlands,Western Europe,46007.85292,10.03,69.32,90.38,98.65,7.3389999999999995
7,New Zealand,Australia and New Zealand,40026.8522,7.55,95.67,92.75,100.0,7.334
8,Australia,Australia and New Zealand,49971.131460000004,17.22,96.13,87.18,100.0,7.313
9,Sweden,Western Europe,51974.196560000004,4.57,93.26,88.76,99.57,7.291
10,Israel,Middle East and Northern Africa,37321.624039999995,8.09,70.5,71.29,100.0,7.267
11,Austria,Western Europe,45237.805089999994,7.99,72.19,93.33,100.0,7.119
12,United States,North America,57904.201960000006,16.02,89.73,79.35,99.17,7.104
13,Costa Rica,Latin America and Caribbean,11666.455909999999,1.74,93.94,90.52,87.62,7.087000000000001
14,Germany,Western Europe,42098.92045,9.65,69.88,100.0,99.5,6.994
15,Brazil,Latin America and Caribbean,8712.887044,2.38,91.78,92.62,84.42,6.952000000000001
16,Belgium,Western Europe,42012.0999,9.08,60.91,100.0,99.64,6.928999999999999
17,Ireland,Western Europe,63197.082370000004,8.21,94.39,90.51,94.02,6.907
18,Luxembourg,Western Europe,104278.391,16.18,82.54,100.0,98.57,6.871
19,Mexico,Latin America and Caribbean,8739.756043000001,3.89,79.55,78.66,80.79,6.778
20,Singapore,Southeastern Asia,56724.17039,9.32,87.8,72.26,100.0,6.739
21,United Kingdom,Western Europe,41074.16728,5.93,86.78,98.98,99.5,6.725
22,Chile,Latin America and Caribbean,13748.08766,4.98,88.4,75.15,94.47,6.705
23,Panama,Latin America and Caribbean,14356.32405,2.78,94.21,87.93,77.81,6.7010000000000005
24,Argentina,Latin America and Caribbean,12790.242470000001,4.87,92.37,69.72,93.05,6.65
25,Czech Republic,Central and Eastern Europe,18463.386580000002,10.33,61.99,100.0,98.93,6.596
26,United Arab Emirates,Middle East and Northern Africa,38141.84676,22.56,69.47,89.41,90.3,6.5729999999999995
27,Uruguay,Latin America and Caribbean,15387.144030000001,1.93,92.03,54.32,95.69,6.545
28,Malta,Western Europe,25151.51962,3.48,94.81,93.98,100.0,6.4879999999999995
29,Colombia,Latin America and Caribbean,5871.223524,1.82,91.04,87.99,77.22,6.481
30,France,Western Europe,36962.22229,5.01,82.43,99.52,99.22,6.478
31,Thailand,Southeastern Asia,5978.611454,3.95,56.32,86.08,85.77,6.474
32,Saudi Arabia,Middle East and Northern Africa,19879.29753,19.13,73.64,81.69,86.99,6.379
33,Qatar,Middle East and Northern Africa,57163.06099,38.78,56.54,58.37,89.8,6.375
34,Spain,Western Europe,26505.624330000002,5.69,91.27,96.73,99.93,6.361000000000001
