,Country,Region,Happiness Score
0,Finland,Western Europe,7.632000000000001
1,Norway,Western Europe,7.593999999999999
2,Denmark,Western Europe,7.555
3,Iceland,Western Europe,7.495
4,Switzerland,Western Europe,7.487
5,Netherlands,Western Europe,7.441
6,Canada,North America,7.327999999999999
7,New Zealand,Australia and New Zealand,7.324
8,Sweden,Western Europe,7.314
9,Australia,Australia and New Zealand,7.272
10,United Kingdom,Western Europe,7.19
11,Austria,Western Europe,7.138999999999999
12,Costa Rica,Latin America and Caribbean,7.072
13,Ireland,Western Europe,6.977
14,Germany,Western Europe,6.965
15,Belgium,Western Europe,6.9270000000000005
16,Luxembourg,Western Europe,6.91
17,United States,North America,6.886
18,Israel,Middle East and Northern Africa,6.814
19,United Arab Emirates,Middle East and Northern Africa,6.774
20,Czech Republic,Central and Eastern Europe,6.711
21,Malta,Western Europe,6.627000000000001
22,France,Western Europe,6.489
23,Mexico,Latin America and Caribbean,6.4879999999999995
24,Chile,Latin America and Caribbean,6.476
25,Taiwan,Eastern Asia,6.441
26,Panama,Latin America and Caribbean,6.43
27,Brazil,Latin America and Caribbean,6.419
28,Argentina,Latin America and Caribbean,6.388
29,Guatemala,Latin America and Caribbean,6.382000000000001
30,Uruguay,Latin America and Caribbean,6.379
31,Qatar,Middle East and Northern Africa,6.374
32,Saudi Arabia,Middle East and Northern Africa,6.371
33,Singapore,Southeastern Asia,6.343
34,Malaysia,Southeastern Asia,6.322
35,Spain,Western Europe,6.31
36,Colombia,Latin America and Caribbean,6.26
37,Trinidad and Tobago,Latin America and Caribbean,6.192
38,Slovakia,Central and Eastern Europe,6.172999999999999
39,El Salvador,Latin America and Caribbean,6.167000000000001
40,Nicaragua,Latin America and Caribbean,6.141
41,Poland,Central and Eastern Europe,6.122999999999999
42,Bahrain,Middle East and Northern Africa,6.105
43,Uzbekistan,Central and Eastern Europe,6.096
44,Kuwait,Middle East and Northern Africa,6.082999999999999
45,Thailand,Southeastern Asia,6.072
