,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
0,Denmark,Western Europe,0.5229210909016972,0.15948387096774194,0.8643482877621449,0.9696548236186622,0.9967767033455597,0.9999999999999998
1,Switzerland,Western Europe,0.768201163178806,0.12593548387096776,0.6667109105388904,0.878998609179416,0.9992219628765144,0.9963211426098244
2,Iceland,Western Europe,0.5911346514483535,0.3014193548387097,0.9978762941332626,0.5706157542040713,0.9921084806046461,0.9945899156026834
3,Norway,Western Europe,0.6748166648130357,0.22270967741935485,0.9653570480488451,0.774939941838412,0.9873291097032344,0.9939407054750051
4,Finland,Western Europe,0.41823881882814923,0.2281290322580645,0.9544730554818157,0.9611834618788722,0.9841058130487941,0.9755464185241287
5,Canada,North America,0.4038388763237343,0.4167741935483871,0.9198301035306609,0.6775825009482868,0.9961098143825722,0.9735987881410948
6,Netherlands,Western Europe,0.43968588012164667,0.25806451612903225,0.629944252720998,0.8783664180048045,0.9849949983327777,0.9595325687080716
7,New Zealand,Australia and New Zealand,0.3821741552459015,0.19406451612903225,0.9796920626493231,0.9083322796813755,1.0,0.9584505518286084
8,Australia,Australia and New Zealand,0.47779572087726285,0.44361290322580643,0.9857977170161931,0.8379061828296877,1.0,0.9539060809348625
9,Sweden,Western Europe,0.4970566663832863,0.11716129032258066,0.9477037430315902,0.8578834239474018,0.9952206290985883,0.949145206665224
10,Israel,Middle East and Northern Africa,0.3561613950160316,0.208,0.6456065834881868,0.6369958275382477,1.0,0.9439515256438
11,Austria,Western Europe,0.43228130336043125,0.20541935483870968,0.6680382267056011,0.9156656973068655,1.0,0.9119238260116858
12,United States,North America,0.554078033716692,0.4126451612903226,0.900849482346695,0.7389050448855732,0.9907747026786708,0.9086777753732957
13,Costa Rica,Latin America and Caribbean,0.10946806722563679,0.04412903225806451,0.9567294929652244,0.880136553293716,0.8623985773035457,0.9049989179831206
14,Germany,Western Europe,0.4020986168362968,0.24825806451612906,0.6373772232545791,1.0,0.9944425919751028,0.8848734040251027
15,Brazil,Latin America and Caribbean,0.08106732828993593,0.060645161290322575,0.9280594637642687,0.9066885826273865,0.8268311659442037,0.875784462237611
