,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
0,Finland,Western Europe,0.42864472895425443,0.22982180293501053,0.7011701771982615,0.8886414253897549,1.0,1.0
1,Norway,Western Europe,0.6997232813514147,0.24633123689727465,0.5259779338014043,0.8852420583753368,0.9964999649996501,0.991961074677385
2,Denmark,Western Europe,0.5248738872031463,0.1501572327044025,0.8486793714476764,0.9499472512015005,0.9777997779977801,0.9837105986883858
3,Iceland,Western Europe,0.6266265561168928,0.3162997903563941,0.69822801738549,0.7306294689954284,1.0,0.9710175587053098
4,Switzerland,Western Europe,0.7091700355764669,0.12473794549266248,0.9797392176529589,0.8294455515179932,0.99989999899999,0.9693251533742331
5,Netherlands,Western Europe,0.4533226104586527,0.24816561844863733,0.9562019391507859,0.7817371937639197,0.9825998259982601,0.9595938227205416
6,Canada,North America,0.39496411279747917,0.42059748427672955,0.6706118355065196,0.8177235962958621,0.94689946899469,0.9356885974190816
7,New Zealand,Australia and New Zealand,0.3581184770502851,0.20020964360587004,0.7211634904714144,0.9190012894150744,0.93369933699337,0.9348423947535434
8,Sweden,Western Europe,0.4669371710683069,0.11635220125786164,0.7607489134068874,0.7919352948071737,0.96879968799688,0.9327268880896975
9,Australia,Australia and New Zealand,0.4907007761762816,0.4386792452830189,0.6393179538615847,0.8346032118157308,0.98439984399844,0.9238417601015443
10,United Kingdom,Western Europe,0.3666996113255733,0.14570230607966458,0.8964226011367438,0.9758527722424098,1.0,0.9064946054580072
11,Austria,Western Europe,0.439898794590398,0.21305031446540884,0.8377131394182546,0.9172429961317546,0.94629946299463,0.8957055214723926
12,Costa Rica,Latin America and Caribbean,0.10102090008630306,0.045859538784067094,0.6642594450016719,0.8705896143476731,0.6277962779627797,0.8815316268246245
13,Ireland,Western Europe,0.6748813093093174,0.20230607966457026,0.9346038114343029,0.8813738131520336,1.0,0.8614343135180875
14,Germany,Western Europe,0.4067374216912707,0.23899371069182393,0.8970244065529924,0.9785488219435,0.96739967399674,0.8588957055214723
15,Belgium,Western Europe,0.40601220950748007,0.24030398322851154,0.8318956870611836,0.9642480365725002,0.9608996089960901,0.8508567801988578
16,Luxembourg,Western Europe,1.0,0.4410377358490566,0.7502507522567703,0.9740944789590903,0.9929999299993001,0.8472604188703194
17,United States,North America,0.5372848253705416,0.42216981132075476,0.7003677699765964,0.6738952057203141,0.90919909199092,0.842183202877089
18,Israel,Middle East and Northern Africa,0.3561393924141965,0.2070230607966457,0.8575727181544635,0.5379205251435939,0.92029920299203,0.826951554897398
19,United Arab Emirates,Middle East and Northern Africa,0.367224248843384,0.5872641509433963,0.5632898696088267,0.7177353182510843,0.6326963269632697,0.8184895282420139
20,Czech Republic,Central and Eastern Europe,0.1959885432409254,0.27279874213836475,0.5322634570377802,0.9555737897081232,0.6997969979699799,0.8051618362597843
21,Malta,Western Europe,0.25631184190301237,0.09040880503144655,0.7253761283851556,0.8712929316610009,1.0,0.7873915802834781
22,France,Western Europe,0.3539791338697448,0.12919287211740044,1.0,0.9706951119446724,0.97219972199722,0.7581975883224032
23,Mexico,Latin America and Caribbean,0.08079266332140263,0.09853249475890986,0.5442326980942829,0.7178525378033056,0.5757957579575796,0.7579860376560186
24,Chile,Latin America and Caribbean,0.13450079411405055,0.13050314465408805,0.19625543296556341,0.6605321767670848,0.7960979609796098,0.7554474296594034
25,Panama,Latin America and Caribbean,0.13150782540195494,0.07311320754716981,0.5517218321631563,0.8505450709178289,0.43449434494344946,0.7457160990057119
26,Brazil,Latin America and Caribbean,0.07432455619895818,0.06132075471698114,0.48873286526245413,0.8759817137498535,0.45909459094590943,0.7433890416754811
27,Argentina,Latin America and Caribbean,0.09806978071689913,0.12237945492662475,0.40682046138415257,0.4946665103739303,0.7306973069730698,0.7368309710175587
28,Guatemala,Latin America and Caribbean,0.03675626494723588,0.030398322851153042,0.3697091273821465,0.605907865431954,0.2949929499294993,0.7355616670192513
29,Uruguay,Latin America and Caribbean,0.1461415354465133,0.05162473794549267,0.29595453025743906,0.4250380963544719,0.8336983369833699,0.7349270150200973
30,Qatar,Middle East and Northern Africa,0.5888384464776889,1.0,0.8019391507856906,0.35482358457390695,0.7289972899728998,0.7338692616881743
31,Saudi Arabia,Middle East and Northern Africa,0.1982261830197335,0.48742138364779874,0.41504513540621873,0.4089790177001523,0.6237962379623797,0.7332346096890205
32,Singapore,Southeastern Asia,0.5526443424352643,0.2520964360587002,0.7590103644266133,0.09401008088149107,0.9899998999990001,0.7273111910302517
33,Malaysia,Southeastern Asia,0.0953996630128693,0.21016771488469604,0.47937144767636247,0.7412964482475677,0.6299962999629997,0.7228686270361753
