,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
0,Denmark,Western Europe,0.8928910414498582,0.6030339157441609,0.7339702473003484,0.939459107501925,0.9944897425006022,0.9999999999999999
1,Switzerland,Western Europe,0.9564650906457054,0.56151348354017,0.4327664597758285,0.7717044866267068,0.9986686527351148,0.9967887598745085
2,Iceland,Western Europe,0.9131658857016219,0.7249904304999575,0.9954370858615694,0.33875948600178163,0.9865342605124142,0.995276759019654
3,Norway,Western Europe,0.9350505834862036,0.6651197173481342,0.9271800290104564,0.6025756963883058,0.9784198851278744,0.9947096216827324
4,Finland,Western Europe,0.8559409479731311,0.6697480987682252,0.905005144769214,0.9229557419709159,0.9729648444723669,0.9786094960709445
5,Canada,North America,0.8501443530310443,0.793122689843165,0.8366284442804404,0.46598156965390247,0.9933514418487511,0.9769012237924503
6,Netherlands,Western Europe,0.8642141079771485,0.6938279982584061,0.3871272626162748,0.7706024241428407,0.9744682792753562,0.9645433074849906
7,New Zealand,Australia and New Zealand,0.8410215683235368,0.6390295795011236,0.9568971690226205,0.823863119758011,0.9999999999999999,0.9635912074817466
8,Australia,Australia and New Zealand,0.8779644423948875,0.8067431824724955,0.9697320134764246,0.7019846932386858,0.9999999999999999,0.9595900486252645
9,Sweden,Western Europe,0.8845013750850553,0.5491979268885739,0.8913813811022354,0.7353950930122665,0.9918346425441092,0.9553942943154746
10,Israel,Middle East and Northern Africa,0.8293584393953825,0.6520832894395329,0.4061916570955532,0.4149642314245962,0.9999999999999999,0.9508123456082574
11,Austria,Western Europe,0.861404377307622,0.6497201705719473,0.4344721763499907,0.8372174484914443,0.9999999999999999,0.9224458758143653
12,United States,North America,0.9024618077985541,0.7909648710315259,0.8005698073968095,0.5496362819970342,0.9842666764030896,0.9195600993245386
13,Costa Rica,Latin America and Caribbean,0.634652752521449,0.3989920970514176,0.9095749712965595,0.7736905332950994,0.7773244706385958,0.9162871235626412
14,Germany,Western Europe,0.8494298554043967,0.6861995814520525,0.39610543124607506,0.9999999999999999,0.990508319694949,0.8983359822949023
15,Brazil,Latin America and Caribbean,0.5855096480548393,0.4446929414622435,0.852569613050649,0.8208872467197804,0.7239774918752714,0.8902032526383848
16,Belgium,Western Europe,0.8490859949921706,0.6742887992434302,0.2668538360412243,0.9999999999999999,0.9931617835028766,0.885742753863301
17,Ireland,Western Europe,0.9169914667709133,0.6548880871636804,0.9217407311859439,0.7734697132031693,0.8892211301497833,0.8814716210568582
18,Luxembourg,Western Europe,1.0,0.793122689843165,0.6338831117423643,0.9999999999999999,0.9729648444723669,0.8744728085467005
19,Mexico,Latin America and Caribbean,0.5860285616468658,0.5221604873157879,0.5715112494360189,0.5372441250374619,0.6655746266193296,0.8563363442390085
20,Singapore,Southeastern Asia,0.8990402246468808,0.6793754558879851,0.7534546991267228,0.43002137157037723,0.9999999999999999,0.8487063503227631
21,United Kingdom,Western Europe,0.8453249101455976,0.5947297871801933,0.7292658007918716,0.9739970250728816,0.990508319694949,0.8459638305275242
22,Chile,Latin America and Caribbean,0.6622454444447902,0.5639630532967286,0.7679123971487436,0.47672993904680827,0.8973486978841868,0.8420426782706104
23,Panama,Latin America and Caribbean,0.6695153415203868,0.4684015736521724,0.91686236627084,0.7177303976433328,0.619316215154196,0.8412579854614176
24,Argentina,Latin America and Caribbean,0.6501126743524334,0.5601010378194768,0.8679132872362828,0.39124531006525287,0.8718175320861183,0.8312395753538583
25,Czech Republic,Central and Eastern Europe,0.7117203821072121,0.699687211786477,0.2808154280033596,0.9999999999999999,0.9797387248324324,0.8206042031397279
26,United Arab Emirates,Middle East and Northern Africa,0.8329823375118596,0.867724255184898,0.3895198907901363,0.7494053120691375,0.8233392588814383,0.8160656137753793
27,Uruguay,Latin America and Caribbean,0.6811551381379751,0.41380973057772313,0.8590504226597699,0.1993876579678341,0.9195545659369235,0.8105333028564704
28,Malta,Western Europe,0.7634675645871468,0.503952199011968,0.9331862611995868,0.8523340728887094,0.9999999999999999,0.79924692917263
29,Colombia,Latin America and Caribbean,0.5188857666734502,0.4053829692411599,0.8335646056163009,0.7189989144452644,0.6103386897944351,0.7978586344193513
30,France,Western Europe,0.8277451810890865,0.5650043620588534,0.6315177330426193,0.9877128482649978,0.9852112108092647,0.7972634996710787
31,Thailand,Southeastern Asia,0.5219492339174433,0.5246934489246788,0.2121524823939879,0.679260600055755,0.7462709481171036,0.7964698453410511
32,Saudi Arabia,Middle East and Northern Africa,0.7241000544451565,0.830114958490056,0.4596666747608632,0.5928934459322769,0.7666842320768521,0.7775727482098799
33,Qatar,Middle East and Northern Africa,0.9003211225209585,0.9999999999999999,0.21460690528962442,0.2429174152794383,0.8146621832435202,0.7767750536949464
34,Spain,Western Europe,0.7722338046651108,0.5873559544790462,0.8394430942071355,0.918062807047805,0.9986686527351148,0.7739818226883372
35,Algeria,Middle East and Northern Africa,0.4516393842700216,0.5204542587968966,0.7835220266923152,0.28134115979442265,0.5350990120473218,0.7727841035054014
36,Guatemala,Latin America and Caribbean,0.45978023824516956,0.33685589168736635,0.6631373095089628,0.5258966272843598,0.5036839035222617,0.7665899387065073
37,Suriname,Latin America and Caribbean,0.5110324864962775,0.5213091536641697,0.8964418925236161,0.5821802632354907,0.6425653232635253,0.7555756001609645
38,Kuwait,Middle East and Northern Africa,0.7793165627663546,0.8803813765064419,0.13839310519951922,0.700733882107267,0.8167408271537466,0.7495543586175856
39,Bahrain,Middle East and Northern Africa,0.7457163606190006,0.8833150162190829,0.4160996143388519,0.22265945875727017,0.8515663165774761,0.7453338105011146
40,Trinidad and Tobago,Latin America and Caribbean,0.6895536674118635,0.9040629400001893,1.0000000000000002,0.7300478567623798,0.7602988826370738,0.7352659264115621
41,Slovakia,Central and Eastern Europe,0.6929314333909072,0.6101965213363721,0.4101374267071601,0.9999999999999999,0.964527961601822,0.7170756573457581
42,El Salvador,Latin America and Caribbean,0.44523351793326127,0.35041057817713567,0.7985815865333574,0.4983122351776317,0.5615246066689434,0.7150490545007498
43,Malaysia,Southeastern Asia,0.6056212306806456,0.6475728492461912,0.47827367953688743,0.7809984036706836,0.8394154336531567,0.7022560374692269
44,Nicaragua,Latin America and Caribbean,0.34504909929647887,0.3246149519114433,0.783767472955462,0.8462682925778772,0.48536016543431953,0.6996107131925725
45,Uzbekistan,Central and Eastern Europe,0.3786657911550716,0.4919805003433959,0.480631336988554,0.21878923409709825,0.6695246268699957,0.6985927771940764
46,Italy,Western Europe,0.7980531678735844,0.5944274013875483,0.4440998744768674,0.9734912079425325,0.9931617835028766,0.6965560641493013
47,Ecuador,Latin America and Caribbean,0.5242369114393141,0.4604369817950291,0.8103063338954957,0.7386144399135732,0.6434972216512922,0.6963523310948471
48,Belize,Latin America and Caribbean,0.48545788393707257,0.3493232099013589,0.9389420009364595,0.9752622474172132,0.618553083816986,0.6922753068497115
49,Japan,Eastern Asia,0.8358095014642236,0.6841518342753634,0.5335352341159862,0.8353679492886316,0.9999999999999999,0.6851296380425752
50,Kazakhstan,Central and Eastern Europe,0.5649973533793894,0.772465054040713,0.7988299465112357,0.19065142820248507,0.682715354916142,0.6847208942253346
51,Moldova,Central and Eastern Europe,0.3578716781719341,0.41969779518309036,0.45053173915213146,0.18847614273993388,0.5732590694110289,0.680221703044558
52,Russia,Central and Eastern Europe,0.586136878060027,0.7251647827740997,0.6827940147827023,0.45294704478488057,0.7207011521685929,0.6718220535233098
53,Poland,Central and Eastern Europe,0.6453323553764748,0.6567396096636002,0.3297442645240706,0.9938451961089331,0.904965129696851,0.6675122898745839
54,South Korea,Eastern Asia,0.7790449431859697,0.7434866015879469,0.11095430386097255,0.38562469717539793,0.9089665140456157,0.6675122898745839
55,Bolivia,Latin America and Caribbean,0.4093934300100349,0.41824377700195037,0.809554777726056,0.7635711389694829,0.5316764721795004,0.6648417789590851
56,Lithuania,Central and Eastern Europe,0.6768725503638419,0.5503138246549769,0.7220108617982169,0.9631561563377761,0.8329328334363172,0.6629918122750958
57,Belarus,Central and Eastern Europe,0.4924835095354839,0.6084981919423379,0.5869888034558209,0.4426729915484539,0.8376611006937763,0.6607294592914555
58,Slovenia,Central and Eastern Europe,0.7381753748137386,0.6352699582478856,0.5458195218425933,0.9999999999999999,0.9591088053656714,0.6537277751499525
59,Peru,Latin America and Caribbean,0.5282297005095503,0.4053829692411599,0.6613678938283711,0.6491760205003478,0.5574437220010463,0.6485707967512332
60,Turkmenistan,Central and Eastern Europe,0.533181081924058,0.7494196121887354,0.6718050565722754,0.1574643941846121,0.4549330925638511,0.6309814243786197
61,Mauritius,Sub-Saharan Africa,0.60327018309651,0.4854565920694027,0.949689706950935,0.21105625820227925,0.8659328226789242,0.62890637965239
62,Libya,Middle East and Northern Africa,0.4554102852420413,0.6615320907422256,0.6742623827653302,0.01037602280870003,0.5681116134501009,0.6220501222085583
63,Latvia,Central and Eastern Europe,0.6671251583607859,0.5280228248937371,0.7769129746359125,0.9446673911105417,0.8374857602288841,0.6105934315111984
64,Paraguay,Latin America and Caribbean,0.502196502845636,0.33328140402832673,0.7484346582313745,0.5422530043120843,0.6913605459132838,0.6060003062862441
65,Romania,Central and Eastern Europe,0.6012662879898175,0.5242734567267863,0.5407290127195217,0.894790054081922,0.744110676292614,0.6039105345429193
66,Estonia,Central and Eastern Europe,0.7096554209486231,0.7952633413157189,0.8818418091307163,0.9999999999999999,0.9149838271356743,0.6016103459156484
67,Jamaica,Latin America and Caribbean,0.4863315749662459,0.46446082612311207,0.8546401570325082,0.7725868034635267,0.6179428885459113,0.6001458024540353
68,Croatia,Central and Eastern Europe,0.6443682169201347,0.5461930013746926,0.4949265403417483,0.9734912079425325,0.9228519911006124,0.5955389534460586
69,Somalia,Sub-Saharan Africa,0.008238616306350255,0.04808196720557317,0.3771756056286433,0.0,0.06773154288407923,0.5854664591092967
70,Turkey,Middle East and Northern Africa,0.6219926630477345,0.563266029057301,0.5664754450741921,0.004091174246393929,0.7345075678812703,0.5747322813775554
71,Indonesia,Southeastern Asia,0.43429850986455854,0.4160404592512948,0.5880159937044492,0.5915716502544844,0.5720806397360152,0.558885682563261
72,Jordan,Middle East and Northern Africa,0.4582649631652259,0.46728390167727296,0.5019839495104588,0.1014347725897186,0.8120673025456799,0.5565553344021795
73,Azerbaijan,Central and Eastern Europe,0.44879388801900755,0.5011439660497898,0.601053463851026,0.48812657365816114,0.6240572311835756,0.5540113185155505
74,Philippines,Southeastern Asia,0.4017453509717256,0.35363004764934663,0.7295005786278568,0.6808984930148353,0.5773922890540525,0.5514654001337497
75,China,Eastern Asia,0.5727716955525216,0.6454056763257392,0.004555687646429881,0.5159086118094784,0.7424508846494358,0.5442415826622614
76,Bhutan,Southern Asia,0.4011290773697137,0.4030134912016826,0.23178550938397233,0.9085657097762614,0.6329719096930461,0.5338035721197049
77,Kyrgyzstan,Central and Eastern Europe,0.23721720740925367,0.38894557490552606,0.6834703887105523,0.5578068681034818,0.5716390140069098,0.5314558934712142
78,Serbia,Central and Eastern Europe,0.5155465441193955,0.6021588290438336,0.48646503710631417,0.2793752127288516,0.8506831191377213,0.5297474596032145
79,Bosnia and Herzegovina,Central and Eastern Europe,0.4915393771544624,0.6451636360088093,0.5420966543637287,0.061382836583309744,0.8840014046566691,0.5267556048595669
80,Montenegro,Central and Eastern Europe,0.5492856593281087,0.6021588290438336,0.7320862221648025,0.3621843703670546,0.8881400265876104,0.5263279788791969
81,Dominican Republic,Latin America and Caribbean,0.5552292658272898,0.4415072672514635,0.8866036230082358,0.8420838542149354,0.532531168866355,0.5250447730799507
82,Morocco,Middle East and Northern Africa,0.3991554568084651,0.40380685763908564,0.7965964301580469,0.7865615894521886,0.4740816934849889,0.5241890290501107
83,Hungary,Central and Eastern Europe,0.6527475529167218,0.5653503457575121,0.35577095252231705,0.9999999999999999,0.9182737019224951,0.5229050021948937
84,Pakistan,Southern Asia,0.2713759045600176,0.3127211783841503,0.043243691196761844,0.3960147032272564,0.45559657413753263,0.5201212494847148
85,Lebanon,Middle East and Northern Africa,0.5632412788932005,0.5373061183045049,0.4739396847183075,0.10808458901390378,0.6577067498385577,0.5194785150876294
86,Portugal,Western Europe,0.7249329853419165,0.5646578200977439,0.8940425888978073,0.8950306624160423,0.9960084115163842,0.5181926744215447
89,Vietnam,Southeastern Asia,0.351755109153817,0.45573137161830746,0.19521945732060686,0.605823476971055,0.6584916094077817,0.5048764411212537
90,Tunisia,Middle East and Northern Africa,0.4406171219077025,0.4604369817950291,0.8376512745090782,0.2742514983633919,0.6701576202059613,0.5014312827992121
91,Greece,Western Europe,0.7085411830765661,0.5998083737338504,0.7346775294680172,0.8721060143308247,0.9878581286083138,0.49884505026267456
92,Tajikistan,Central and Eastern Europe,0.1800023230775808,0.27018905474910415,0.46605654450492096,0.4610685614211685,0.5092551728165777,0.490858005392398
93,Mongolia,Eastern Asia,0.4388694466515112,0.5916871974868128,0.7271549040366987,0.6288441556656134,0.31049346195853,0.47156560062940167
94,Laos,Southeastern Asia,0.36057628166920386,0.2375014246669766,0.03363387535189094,0.767301791218356,0.4526805376762238,0.46481875161386077
95,Nigeria,Sub-Saharan Africa,0.3504909526336376,0.25479169419124814,0.4337893992473582,0.4814037839502988,0.20454055177390365,0.4646008763242694
96,Honduras,Latin America and Caribbean,0.3630487150862861,0.33685589168736635,0.7332633866870819,0.6959512205103493,0.5452825953063886,0.4637292278111961
97,Zambia,Sub-Saharan Africa,0.26003226846508676,0.18091891441151897,0.5741407043598488,0.9261443871230072,0.2941646413614257,0.4471227771391951
98,Nepal,Southern Asia,0.1744906588527394,0.1975500696809565,0.02320724821411551,0.501049031935747,0.3864844447865785,0.4466845986273943
99,Albania,Central and Eastern Europe,0.4591043425173028,0.38721311408448644,0.5989722663024586,0.19736034507050182,0.8067166088284525,0.4163028676042392
100,Bangladesh,Southern Asia,0.2754674805097176,0.24424029762992933,0.0,0.308516586334653,0.34059757624565673,0.4136470463258859
101,Sierra Leone,Sub-Saharan Africa,0.09917558566293538,0.1335137124182628,0.3503501481728089,0.48190612001117794,0.10072765791147317,0.4118752418340431
102,Iraq,Middle East and Northern Africa,0.4839872686934209,0.551792580020941,0.21640234130237787,0.0507767273679819,0.5603572539048118,0.3985544084855873
103,Namibia,Sub-Saharan Africa,0.4843239243544436,0.40141595726389406,0.7722829396318545,0.8940684580819139,0.4046625320041267,0.3983319084689835
104,Cameroon,Sub-Saharan Africa,0.27074409868735405,0.26460759679832596,0.5219950210339819,0.5138200378888972,0.24083262718586781,0.3847289091442484
